Word,Frequency
tough,68
senator,68
past,68
feet,68
packer,68
jo,68
promise,68
farm,68
ball,67
class,67
aw,67
florida,67
young,67
parents,67
follow,67
child,66
situation,66
music,66
count,66
group,66
wonderful,66
touch,65
needed,65
america,65
finally,65
customer,65
whoo,65
dogs,65
excellent,64
temp,64
choice,64
art,64
numbers,64
pants,64
brother,64
cece,64
basically,64
ho,63
blood,63
missed,63
grab,63
completely,63
congratulations,63
machine,63
strong,63
butt,62
club,62
future,62
gentlemen,62
goodbye,62
brain,62
father,62
handle,62
planning,62
extra,61
bitch,61
problems,61
daughter,61
ridiculous,61
eating,61
message,61
foot,61
scared,61
college,61
children,61
eye,61
quit,61
forward,61
truck,60
imagine,60
bus,60
air,60
control,60
ring,60
spent,60
dundies,60
charles,60
waiting,60
sad,60
explain,59
husband,59
push,59
piece,58
mouth,58
bar,58
interview,58
king,58
dance,58
bag,58
email,58
cream,57
video,57
usually,57
plus,57
worse,57
expect,57
broke,57
taken,57
yesterday,57
shoot,57
loves,57
earlier,57
shoes,57
super,57
voice,56
accounting,56
realize,56
clothes,56
meant,56
honest,56
position,56
wonder,56
rock,55
points,55
engaged,55
fault,55
honestly,55
interested,54
longer,54
running,54
prison,54
tiny,54
test,54
history,54
suit,54
liked,54
awful,53
afternoon,53
pete,53
apparently,53
employee,53
service,53
trouble,53
text,53
road,53
literally,53
gun,53
space,53
lie,53
pregnant,53
died,52
present,52
roll,52
wall,52
floor,52
record,52
become,52
blue,52
seeing,52
smell,52
forever,51
invited,51
romantic,51
chocolate,51
laugh,51
valentine,51
disgusting,51
fake,51
catch,51
stick,51
cornell,51
dress,51
simple,51
straight,51
mmhmm,51
jump,51
act,51
living,51
philly,51
kiss,51
seconds,50
la,50
employees,50
cover,50
honey,50
safe,50
street,50
shower,50
deangelo,50
experience,50
leads,50
nervous,50
pounds,50
changed,50
hire,50
tv,50
known,50
normal,49
age,49
cards,49
rather,49
listening,49
apologize,49
character,49
driving,49
blow,49
looked,49
insane,49
punch,49
state,49
private,48
walking,48
shall,48
waste,48
double,48
difference,48
type,48
hilarious,48
bear,48
chicken,48
training,48
paid,48
fax,48
named,48
turned,48
vance,47
form,47
accept,47
beet,47
presentation,47
biggest,47
finish,47
honor,47
movies,47
copy,47
horrible,47
pennsylvania,47
management,47
cell,47
war,47
ground,47
upset,47
twenty,47
quite,46
share,46
worried,46
feelings,46
tree,46
bucks,46
hungry,46
shirt,46
total,46
names,46
using,46
spot,46
cookies,46
given,46
fit,46
ones,46
website,46
sold,46
hr,46
daddy,46
kitchen,45
drunk,45
camera,45
receptionist,45
warm,45
treat,45
proud,45
join,45
note,45
lead,45
third,45
weight,45
captain,45
poor,45
lucky,44
key,44
wondering,44
closed,44
bigger,44
mall,44
board,44
hoping,44
lying,44
animal,44
laughing,44
loved,44
gotten,44
recently,44
carol,44
sexual,44
advice,44
fantastic,44
department,44
standing,44
race,44
committee,44
gross,43
per,43
lots,43
lame,43
choose,43
sandwich,43
correct,43
monkey,43
teach,43
pretend,43
consider,43
games,43
babies,43
